132.243.205.63:8443#IT [256.03ms 10.54Mbps]
143.110.247.34:443#IN [256.05ms 0.0Mbps]
5.181.2.41:8443#HR [256.16ms 6.26Mbps]
94.131.114.73:443#IL [256.34ms 6.05Mbps]
77.91.69.141:2053#IL [256.64ms 0.29Mbps]
77.91.72.13:443#HU [257.26ms 7.59Mbps]
91.238.105.102:443#UA [257.49ms 4.85Mbps]
77.91.69.141:8443#IL [257.98ms 0.79Mbps]
89.185.82.90:8443#MK [258.29ms 5.39Mbps]
185.39.30.18:8443#RO [258.46ms 4.84Mbps]
139.185.38.137:2053#AE [259.18ms 5.86Mbps]
193.108.112.17:443#AL [259.71ms 5.96Mbps]
31.129.22.199:8443#PT [260.08ms 0.36Mbps]
176.123.1.204:443#MD [260.71ms 0.49Mbps]
166.88.234.116:443#MD [261.9ms 3.88Mbps]
5.181.2.71:443#HR [261.92ms 6.82Mbps]
45.15.178.235:8443#BA [262.45ms 2.32Mbps]
38.133.142.152:443#RO [263.06ms 0.79Mbps]
43.230.200.169:443#IN [263.15ms 7.66Mbps]
185.138.89.45:2053#PT [263.22ms 3.19Mbps]
64.176.170.68:8443#IL [264.0ms 6.21Mbps]
45.141.148.141:443#TR [264.53ms 6.95Mbps]
95.139.91.132:443#BE [265.41ms 0.91Mbps]
80.71.159.199:8443#BY [266.21ms 5.59Mbps]
5.181.2.41:443#HR [266.23ms 6.13Mbps]
144.31.217.98:443#NO [266.32ms 0.31Mbps]
156.244.1.250:8443#ID [267.08ms 0.81Mbps]
81.29.149.219:8443#NO [267.35ms 6.04Mbps]
144.31.217.77:443#NO [267.38ms 0.73Mbps]
193.42.108.114:443#MD [267.47ms 0.72Mbps]
5.181.2.248:8443#HR [267.97ms 9.21Mbps]
38.54.42.124:443#BD [268.74ms 3.97Mbps]
45.136.199.148:443#RO [268.81ms 2.36Mbps]
45.150.128.181:443#TH [268.95ms 0.0Mbps]
85.155.228.195:443#AL [269.43ms 5.24Mbps]
185.128.227.27:443#MY [269.75ms 0.0Mbps]
45.15.170.209:8443#AL [271.92ms 0.4Mbps]
217.156.65.142:443#MD [272.17ms 2.19Mbps]
89.185.81.48:443#NO [275.5ms 5.12Mbps]
185.125.168.108:443#NO [277.62ms 0.0Mbps]
5.181.2.78:8443#HR [279.64ms 7.03Mbps]
94.131.114.83:443#IL [279.77ms 2.69Mbps]
131.196.254.84:443#MX [280.36ms 2.61Mbps]
185.234.57.153:443#AM [280.39ms 3.23Mbps]
180.149.37.38:8443#HU [281.1ms 5.99Mbps]
157.22.128.7:443#UZ [281.47ms 5.59Mbps]
185.234.57.134:443#AM [283.74ms 4.25Mbps]
45.170.244.62:443#MX [284.53ms 4.98Mbps]
2.56.172.184:443#RS [285.98ms 5.13Mbps]
89.147.111.223:2053#IS [286.86ms 0.0Mbps]
194.5.98.17:443#NO [287.22ms 5.18Mbps]
5.182.39.57:443#PT [287.98ms 3.52Mbps]
131.196.254.203:443#MX [288.56ms 4.47Mbps]
45.15.160.250:443#RS [289.01ms 5.64Mbps]
